user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
80454,22,0,0.0,10,10,2,8,8,0,0,0,0,0.0,0,0,0,0,0,0,0,1,66,99999,2,0,0,0.0,1,0,1
146922,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
20088,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,1,0,1
46450,10,0,0.0,10,9,4,7,7,0,0,10,0,0.0,10,9,4,7,7,0,0,0,12,99999,1,0,0,0.0,1,0,1
131312,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,1,0,1
28653,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
108837,1,1,9.0,1,1,1,1,1,1,1,1,1,9.0,1,1,1,1,1,1,1,0,14,14,1,1,1,9.0,1,0,1
125382,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,1,0,1
131780,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,1,0,1
129826,2,1,13.0,1,1,1,1,1,1,1,2,1,13.0,1,1,1,1,1,1,1,0,6,14,1,1,1,13.0,1,0,1
